ncbi_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_id,uniprot_id
BAA10203.1,64.45813829561948,-0.06470178691638102,0.22369483815450064,0.7450538018463546,0.8171102061968555,sll0008,sll0008,Q55677
BAA10204.1,313.77594641249215,-0.3603867065588487,0.1241370487664366,0.0026142981379478564,0.0072981613344159785,sll0007,sll0007,Q55678
BAA10205.1,816.1909273734716,-0.5307155912976292,0.09872334338893346,3.906321593325315e-8,2.678841092655898e-7,aspC,sll0006,Q55679
BAA10206.1,1150.2034319653958,-0.4640975392045674,0.0946158331509602,5.585332714752088e-7,3.246416167535971e-6,sll0005,sll0005,Q55680
BAA10207.1,287.1854382920443,0.30547367605094033,0.12537383797413265,0.011709889137525685,0.0273994034438396,recG,slr0020,Q55681
BAA10208.1,245.47990275024839,-0.484983463766464,0.146634461517893,5.107254841075163e-4,0.0017172649514080249,sppA,slr0021,Q55682
BAA10209.1,1813.430314357786,-0.6545778382384276,0.08879992974067366,6.793998966220065e-14,7.679210557909976e-13,ponA,sll0002,Q55683
BAA10210.1,3555.339823055233,-0.0019166781037119548,0.08312563224695116,0.9779511434550544,0.9859065856446947,guaA,slr0213,P49057
BAA10211.1,172.72338710776552,0.6654818266308768,0.15750544603210168,8.85613070600529e-6,4.181057625828348e-5,slr0214,slr0214,Q59995
BAA10212.1,341.39565868630785,0.08110096167697156,0.12638027740735217,0.508102642505957,0.6175538246920038,sll0210,sll0210,Q55684
BAA10213.1,43.67845181905493,0.3553486906666274,0.2532107826649601,0.10603591674173998,0.17861389858924162,cobU,slr0216,Q55685
BAA10214.1,707.5391923773232,-0.36946161775687664,0.11408643076589409,8.479894941699367e-4,0.0027045253168838973,slr0217,slr0217,Q55686
BAA10215.1,112.51857163833941,-0.3981869760543326,0.174193726222562,0.01424081442946785,0.032318918293167714,ssr0349,ssr0349,P74790
BAA10216.1,1130.7484528004609,-0.2841981219417761,0.10613573010293877,0.0059846482234781565,0.015247231523839356,sll0209,sll0209,Q55687
BAA10217.1,2956.8370886793273,-0.1126781015353126,0.08647502792848002,0.18495193307343813,0.28185472453440064,sll0208,sll0208,Q55688
BAA10218.1,244.07685550760334,0.380672136384769,0.13009678276002398,0.00238219182100397,0.006781136684892351,rfbA,sll0207,Q55689
BAA10219.1,1218.6004648128182,-0.22108716506609694,0.09401061803904263,0.016461654957892046,0.03664011719299897,glyS,slr0220,Q55690
BAA10220.1,234.2975874786684,-0.2431148396128186,0.1323020654376989,0.056098147366687647,0.10527883794613636,sll0205,sll0205,Q55691
BAA10221.1,481.3770604098816,-0.5462620229233683,0.11143479574623046,4.6549637914793216e-7,2.765877458293364e-6,gidA,sll0204,Q55692
